conversion,coupon,X1,X2,X3,membership_level_0,membership_level_1,membership_level_2
1,1,-1.134097133,0.12858891032488645,0.8742377282627234,1,0,0
0,1,-0.150294965,-0.076849847,-0.204063955,1,0,0
0,0,-0.345811756,0.44164731412187724,-1.084715534,0,0,1
1,0,-1.960944032,-1.59867382,-0.887552423,1,0,0
0,1,-0.68200832,-1.672800752,-1.692625769,0,1,0
0,1,-0.524846527,0.9515825399060355,0.25776206943950075,0,1,0
1,1,-0.013396666,-0.046460968,-0.338888872,0,0,1
1,1,-1.349509315,-0.563358871,0.10180581008647996,1,0,0
0,1,-0.492844797,-0.985842582,-0.051563242,0,0,1
1,1,0.15318272574831804,0.36797909009848145,1.8356565404223828,0,1,0
0,0,-0.239785195,0.3104527295887031,-0.433132177,1,0,0
1,1,-0.707440159,-0.634365112,-0.460660157,1,0,0
0,1,0.7296653637333543,0.770232757,-0.146490743,1,0,0
0,0,1.1885599554536126,-0.180559394,0.12285277289658288,1,0,0
0,1,0.7469198670855269,1.316665876273542,-1.33261433,0,0,1
0,1,0.9882151736666387,1.1643873946380885,1.6739671515940358,1,0,0
0,1,-0.945936282,0.039244415,0.073827838,0,1,0
0,0,0.4606465505623012,-0.092206539,-0.947940614,0,1,0
1,0,0.2951294517038098,-0.378153369,0.5392128038180231,0,1,0
1,0,-0.904415799,-1.293918057,-1.704331106,0,1,0
0,0,0.5941429706130497,-0.389631127,0.58002325,0,0,1
0,1,-1.726483599,-1.549175472,0.40003762297326056,0,1,0
0,0,1.5472599634702826,0.35280074994976357,1.143793998934766,1,0,0
1,0,-0.628832429,0.3316572535967623,0.10256257610726259,0,1,0
0,1,0.2233095875761594,-0.284377596,0.8339189416369891,0,0,1
0,1,-1.392212958,-0.041788498,0.2531820822318132,1,0,0
0,1,1.8431752630580067,2.029198204315022,-0.595780694,0,1,0
1,0,0.007523074,0.10452928188194902,-0.403089773,1,0,0
0,1,0.17517856591896908,2.005626238416854,1.146612746101755,0,1,0
1,1,-1.650594178,-0.745869205,0.7265791103576543,1,0,0
1,0,1.1247405138809234,0.4215832511253446,-1.022707568,1,0,0
